bps,evt,acres
Historically Conifer,Agricultural,"258,281"
Historically Conifer,Conifer,"846,157"
Historically Conifer,Conifer Hardwood,"203,711"
Historically Conifer,Developed,"309,764"
Historically Conifer,Grassland,"86,393"
Historically Conifer,Hardwood,"1,045,611"
Historically Conifer,Riparian,"35,053"
Historically Conifer,Shrubland,870
Historically Hardwood,Agricultural,"7,355,092"
Historically Hardwood,Conifer,"449,312"
Historically Hardwood,Conifer Hardwood,"40,315"
Historically Hardwood,Developed,"3,629,774"
Historically Hardwood,Grassland,"317,882"
Historically Hardwood,Hardwood,"7,050,009"
Historically Hardwood,Riparian,"137,596"
Historically Hardwood,Shrubland,915
Historically Hardwood-Conifer,Agricultural,"1,245,276"
Historically Hardwood-Conifer,Conifer,"1,194,125"
Historically Hardwood-Conifer,Conifer Hardwood,"260,810"
Historically Hardwood-Conifer,Developed,"894,681"
Historically Hardwood-Conifer,Grassland,"239,639"
Historically Hardwood-Conifer,Hardwood,"2,197,481"
Historically Hardwood-Conifer,Riparian,"47,896"
Historically Hardwood-Conifer,Shrubland,"3,066"
Historically Riparian,Agricultural,"246,312"
Historically Riparian,Conifer,"325,740"
Historically Riparian,Conifer Hardwood,"7,365"
Historically Riparian,Developed,"197,644"
Historically Riparian,Grassland,"15,553"
Historically Riparian,Hardwood,"390,497"
Historically Riparian,Riparian,"6,237,314"
Historically Riparian,Shrubland,81
